Step	F1 (Hz)	F1 (ERB)	F2 (Hz)	F2 (ERB)
1	877	14.277483441972887	1622.0000000000002	19.188940012498207
2	872.1557236083787	14.23535992844645	1632.1157991875523	19.24028338801577
3	867.332680170894	14.19323641492001	1642.2908520903968	19.29162676353333
4	862.5307644639273	14.151112901393573	1652.5255724210692	19.342970139050895
5	857.7498718845683	14.108989387867133	1662.820377490368	19.394313514568456
6	852.9898984461536	14.066865874340696	1673.175688246343	19.445656890086017
7	848.2507407738309	14.024742360814257	1683.5919293137763	19.497000265603578
8	843.5322961001699	13.982618847287819	1694.0695290341946	19.54834364112114
9	838.8344622608118	13.940495333761382	1704.6089195063964	19.599687016638704
10	834.1571376901452	13.898371820234942	1715.2105366275166	19.651030392156265
11	829.5002214170372	13.856248306708505	1725.874820134642	19.702373767673826
12	824.8636130605848	13.814124793182065	1736.6022136469637	19.753717143191388
13	820.247212825912	13.772001279655628	1747.3931647085035	19.805060518708952
14	815.6509215000017	13.729877766129189	1758.24812483139	19.856403894226514
15	811.0746404475594	13.687754252602751	1769.1675495397299	19.907747269744075
16	806.5182716069181	13.645630739076314	1780.151898414056	19.959090645261636
17	801.9817174859736	13.603507225549874	1791.2016351363677	20.010434020779197
18	797.4648811581553	13.561383712023437	1802.3172275357877	20.061777396296762
19	792.9676662584367	13.519260198496998	1813.4991476348098	20.113120771814323
20	788.4899769793692	13.47713668497056	1824.7478716962007	20.164464147331884
21	784.0317180671607	13.435013171444123	1836.0638802705078	20.215807522849445
22	779.5927948177798	13.392889657917683	1847.4476582442253	20.267150898367007
23	775.1731130730968	13.350766144391246	1858.8996948886163	20.31849427388457
24	770.7725792170581	13.308642630864806	1870.4204839091753	20.369837649402132
25	766.3911001718873	13.266519117338369	1882.010523495802	20.421181024919694
26	762.0285833943256	13.224395603811931	1893.6703163736274	20.472524400437255
27	757.6849368718994	13.182272090285492	1905.4003698545587	20.52386777595482
28	753.3600691192192	13.140148576759055	1917.2011958895112	20.57521115147238
29	749.0538891743146	13.098025063232615	1929.0733111213792	20.626554526989942
30	744.7663065949916	13.055901549706178	1941.0172369387242	20.677897902507503
31	740.4972314552275	13.013778036179739	1953.0334995302112	20.729241278025064
32	736.2465743415946	12.971654522653301	1965.1226299397922	20.78058465354263
33	732.0142463497092	12.929531009126862	1977.2851641226646	20.83192802906019
34	727.8001590807178	12.887407495600424	1989.5216430020012	20.88327140457775
35	723.6042246378059	12.845283982073987	2001.83261252648	20.934614780095313
36	719.4263556227381	12.803160468547548	2014.2186237286055	20.985958155612874
37	715.2664651324313	12.76103695502111	2026.6802327838627	21.03730153113044
38	711.1244667555449	12.71891344149467	2039.218001070688	21.088644906648
39	707.0002745691143	12.676789927968233	2051.832495231296	21.13998828216556
40	702.8938031351998	12.634666414441796	2064.5242872333583	21.191331657683122
41	698.8049674975694	12.592542900915356	2077.2939544325563	21.242675033200683
42	694.7336831784079	12.550419387388919	2090.142079636024	21.294018408718248
43	690.6798661750499	12.50829587386248	2103.069251166686	21.34536178423581
44	686.6434329567475	12.466172360336042	2116.076062928521	21.39670515975337
45	682.6243004614547	12.424048846809605	2129.1631144727526	21.44804853527093
46	678.622386092644	12.381925333283165	2142.331011064987	21.499391910788496
47	674.6376077161514	12.339801819756728	2155.5803637533177	21.550735286306058
48	670.6698836570364	12.297678306230289	2168.911789437407	21.60207866182362
49	666.7191326964843	12.255554792703851	2182.3259109385663	21.65342203734118
50	662.7852740687163	12.213431279177412	2195.8233570708494	21.70476541285874
51	658.8682274579364	12.171307765650974	2209.404762713174	21.756108788376302
