Step	F1 (Hz)	F1 (ERB)	F2 (Hz)	F2 (ERB)
1	989.647061869878	15.207977735969823	1702.696845211112	19.59039461846746
2	982.0684485109007	15.148155958516226	1707.3475668926496	19.612979215598358
3	974.5375831515983	15.088334181062628	1712.0103506402613	19.635563812729256
4	967.0541229488036	15.02851240360903	1716.6852338729298	19.658148409860157
5	959.6177280108858	14.968690626155432	1721.37225415449	19.680733006991055
6	952.2280613666467	14.908868848701834	1726.071449194338	19.703317604121953
7	944.8847889346044	14.849047071248236	1730.7828568481227	19.72590220125285
8	937.587579492677	14.789225293794638	1735.5065151184617	19.748486798383748
9	930.3361046482405	14.72940351634104	1740.2424621556427	19.77107139551465
10	923.1300388085662	14.669581738887443	1744.990736258345	19.793655992645547
11	915.9690591516326	14.609759961433845	1749.7513758743535	19.816240589776445
12	908.8528455973025	14.549938183980247	1754.5244196012877	19.838825186907343
13	901.781080778863	14.49011640652665	1759.3099061873204	19.861409784038244
14	894.7534500149161	14.430294629073051	1764.1078745319128	19.883994381169142
15	887.769641281628	14.370472851619454	1768.9183636865555	19.90657897830004
16	880.8293451853174	14.310651074165856	1773.7414128554976	19.929163575430938
17	873.9322549353878	14.250829296712258	1778.5770613965024	19.951748172561835
18	867.0780663175939	14.19100751925866	1783.4253488215884	19.974332769692737
19	860.2664776676394	14.131185741805062	1788.2863147977837	19.996917366823634
20	853.497189845102	14.071363964351464	1793.1599991478845	20.019501963954532
21	846.7699062076761	14.011542186897866	1798.0464418512202	20.04208656108543
22	840.0843325857361	13.951720409444269	1802.9456830444126	20.064671158216328
23	833.4401772572091	13.89189863199067	1807.8577630221555	20.08725575534723
24	826.8371509227577	13.832076854537073	1812.7827222379808	20.109840352478127
25	820.2749666812625	13.772255077083475	1817.7206013050484	20.132424949609025
26	813.7533400056072	13.712433299629877	1822.6714409969225	20.155009546739922
27	807.2719887187527	13.65261152217628	1827.6352822483682	20.17759414387082
28	800.8306329701104	13.592789744722682	1832.6121661561415	20.20017874100172
29	794.4289952121961	13.532967967269084	1837.602133979786	20.22276333813262
30	788.066800177562	13.473146189815486	1842.6052271424423	20.245347935263517
31	781.7437748560158	13.413324412361888	1847.6214872316546	20.267932532394415
32	775.4596484721086	13.35350263490829	1852.6509560001798	20.290517129525316
33	769.2141524628973	13.293680857454692	1857.6936753668097	20.313101726656214
34	763.007020455965	13.233859080001094	1862.7496874171945	20.33568632378711
35	756.8379882477147	13.174037302547497	1867.819034404666	20.35827092091801
36	750.706793781918	13.114215525093899	1872.901758751076	20.380855518048907
37	744.6131771285152	13.054393747640301	1877.9979030476322	20.40344011517981
38	738.5568804626747	12.994571970186703	1883.1075100557368	20.426024712310706
39	732.5376480440949	12.934750192733105	1888.2306227078402	20.448609309441604
40	726.5552261965565	12.874928415279507	1893.3672841082935	20.471193906572502
41	720.60936328771	12.81510663782591	1898.5175375342005	20.4937785037034
42	714.6998097091077	12.755284860372312	1903.6814264362906	20.5163631008343
43	708.8263178564661	12.695463082918714	1908.8589944397777	20.5389476979652
44	702.9886421101637	12.635641305465116	1914.050285345242	20.561532295096097
45	697.1865388159655	12.575819528011518	1919.2553431295012	20.584116892226994
46	691.4197662659708	12.51599775055792	1924.4742119465038	20.606701489357896
47	685.6880846797883	12.456175973104322	1929.7069361282108	20.629286086488793
48	679.9912561859255	12.396354195650725	1934.9535601854923	20.65187068361969
49	674.3290448033998	12.336532418197127	1940.2141288090347	20.67445528075059
50	668.7012164235564	12.276710640743529	1945.4886868702379	20.697039877881487
51	663.107538792102	12.216888863289931	1950.777279422133	20.719624475012388
