Step	F1 (Hz)	F1 (ERB)	F2 (Hz)	F2 (ERB)	F3 (Hz)	F3 (ERB)
0	879.739955349512	14.301227072508327	1800.879809100939	20.05515506512406	3285.5714484693085	25.03642600685164
1	876.0000000000001	14.268803067906457	1808.000000000001	20.087908847719678	3285	25.035006892133215
2	872.2726748014898	14.236379063304588	1815.1472821101233	20.120662630315294	3284.4286604720355	25.033587777414787
3	868.5579315062121	14.203955058702716	1822.3217794394009	20.15341641291091	3283.8574298588755	25.032168662696364
4	864.855722085919	14.171531054100846	1829.5236167072135	20.186170195506527	3283.2863081339856	25.030749547977937
5	861.1659987306645	14.139107049498977	1836.752919349319	20.218923978102143	3282.7152952708434	25.02933043325951
6	857.4887138475896	14.106683044897107	1844.0098135229825	20.25167776069776	3282.144391242935	25.027911318541086
7	853.823820059724	14.074259040295235	1851.2944261121468	20.284431543293376	3281.573596023751	25.02649220382266
8	850.1712702047873	14.041835035693365	1858.6068847326549	20.317185325888993	3281.0029095867926	25.025073089104232
9	846.5310173340022	14.009411031091496	1865.947317737513	20.34993910848461	3280.4323319055743	25.02365397438581
10	842.9030147109179	13.976987026489624	1873.3158542222002	20.38269289108023	3279.8618629536086	25.022234859667382
11	839.2872158102352	13.944563021887754	1880.7126240300267	20.415446673675845	3279.2915027044255	25.02081574494896
12	835.683574316645	13.912139017285885	1888.137757757534	20.44820045627146	3278.721251131557	25.01939663023053
13	832.0920441236706	13.879715012684013	1895.5913867599465	20.480954238867078	3278.1511082085467	25.017977515512104
14	828.5125793325204	13.847291008082143	1903.0736431566688	20.513708021462694	3277.5810739089484	25.01655840079368
15	824.9451342509475	13.814867003480273	1910.5846598368287	20.54646180405831	3277.0111482063207	25.015139286075254
16	821.3896633921164	13.782442998878404	1918.1245704648788	20.579215586653927	3276.44133107423	25.013720171356827
17	817.8461214734772	13.750018994276532	1925.6935094862301	20.611969369249543	3275.8716224862546	25.012301056638403
18	814.3144634156478	13.717594989674662	1933.2916121329506	20.64472315184516	3275.3020224159795	25.010881941919976
19	810.7946443413019	13.685170985072793	1940.919014429506	20.677476934440776	3274.7325308369955	25.00946282720155
20	807.2866195740661	13.652746980470921	1948.5758531985562	20.710230717036392	3274.1631477229057	25.008043712483126
21	803.7903446374256	13.620322975869051	1956.2622660667955	20.74298449963201	3273.593873047319	25.0066245977647
22	800.3057752536313	13.587898971267181	1963.9783914708516	20.775738282227625	3273.024706783854	25.00520548304627
23	796.8328673426225	13.555474966665312	1971.7243686632353	20.80849206482324	3272.455648906137	25.003786368327848
24	793.371577020948	13.52305096206344	1979.5003377183357	20.841245847418858	3271.886699387801	25.00236725360942
25	789.9218606007015	13.49062695746157	1987.3064395384813	20.873999630014474	3271.3178582024907	25.000948138890994
26	786.4836745884583	13.4582029528597	1995.1428158600459	20.90675341261009	3270.7491253238563	24.99952902417257
27	783.0569756842244	13.425778948257829	2003.0096092596089	20.93950719520571	3270.1805007255566	24.998109909454143
28	779.6417207803864	13.39335494365596	2010.9069631601733	20.972260977801326	3269.6119843812617	24.99669079473572
29	776.237866960675	13.36093093905409	2018.8350218374426	21.005014760396943	3269.043576264644	24.995271680017293
30	772.8453714991277	13.328506934452218	2026.7939304261472	21.03776854299256	3268.475276349389	24.993852565298866
31	769.4641918590663	13.296082929850348	2034.783834926427	21.070522325588176	3267.9070846091913	24.992433450580442
32	766.0942856920732	13.263658925248478	2042.8048822102814	21.103276108183792	3267.3390010177486	24.991014335862015
33	762.7356108369817	13.231234920646608	2050.857220028064	21.136029890779408	3266.7710255487714	24.98959522114359
34	759.388125318867	13.198810916044737	2058.9409970150446	21.168783673375025	3266.2031581759784	24.988176106425165
35	756.0517873480464	13.166386911442867	2067.056362698028	21.20153745597064	3265.6353988730925	24.986756991706738
36	752.7265553190864	13.133962906840997	2075.203467502031	21.234291238566257	3265.0677476138485	24.98533787698831
37	749.412387809814	13.101538902239128	2083.3824627570207	21.267045021161874	3264.50020437199	24.983918762269887
38	746.1092435803381	13.069114897637256	2091.5935007047183	21.29979880375749	3263.9327691212643	24.98249964755146
39	742.817081572073	13.036690893035386	2099.8367345054535	21.332552586353106	3263.3654418354317	24.981080532833033
40	739.5358609067715	13.004266888433516	2108.1123182450906	21.365306368948723	3262.7982224882603	24.97966141811461
41	736.2655408855604	12.971842883831645	2116.4204069420202	21.39806015154434	3262.231111053522	24.978242303396183
42	733.0060809879885	12.939418879229775	2124.7611565541997	21.430813934139955	3261.664107505001	24.976823188677756
43	729.7574408710734	12.906994874627905	2133.134723986276	21.46356771673557	3261.0972118164923	24.975404073959332
44	726.5195803683594	12.874570870026034	2141.5412670967585	21.496321499331188	3260.530423961791	24.973984959240905
45	723.2924594889804	12.842146865424164	2149.9809447052703	21.529075281926808	3259.963743914708	24.97256584452248
46	720.0760384167284	12.809722860822294	2158.453916599851	21.561829064522424	3259.3971716490582	24.971146729804055
47	716.8702775091252	12.777298856220423	2166.9603435443446	21.59458284711804	3258.8307071386653	24.969727615085628
48	713.675137296507	12.744874851618553	2175.5003872858397	21.627336629713657	3258.264350357364	24.968308500367204
49	710.4905784811073	12.712450847016683	2184.074210562186	21.660090412309273	3257.6981012789934	24.966889385648777
50	707.3165619361491	12.680026842414813	2192.681977109578	21.69284419490489	3257.1319598774026	24.96547027093035
