Step	F1 (Hz)	F1 (ERB)	F2 (Hz)	F2 (ERB)
1	1004.9193532573648	15.327391575451543	1771.0766404259434	19.916692691329196
2	1000.2929079987226	15.291376567026731	1777.2158193281182	19.94539653394126
3	995.6840708729818	15.255361558601921	1783.3753959605847	19.974100376553324
4	991.0927653669092	15.219346550177109	1789.5554517122919	20.00280421916539
5	986.5189153666986	15.183331541752297	1795.7560683785946	20.031508061777455
6	981.9624451554185	15.147316533327487	1801.9773281637986	20.06021190438952
7	977.4232794104724	15.111301524902675	1808.2193136836952	20.088915747001582
8	972.9013432010834	15.075286516477863	1814.4821079681378	20.117619589613646
9	968.3965619857955	15.039271508053051	1820.7657944636187	20.146323432225714
10	963.9088616099979	15.003256499628241	1827.070457035882	20.175027274837777
11	959.4381683034578	14.96724149120343	1833.3961799725466	20.20373111744984
12	954.9844086778905	14.931226482778618	1839.7430479857524	20.232434960061905
13	950.5475097245288	14.895211474353808	1846.1111462148247	20.26113880267397
14	946.1273988117221	14.859196465928996	1852.5005602289575	20.289842645286036
15	941.7240036825535	14.823181457504184	1858.9113760299217	20.3185464878981
16	937.3372524524697	14.787166449079374	1865.3436800547956	20.347250330510164
17	932.9670736069332	14.751151440654562	1871.7975591787038	20.375954173122228
18	928.6133959990934	14.71513643222975	1878.273100717587	20.40465801573429
19	924.2761488474703	14.67912142380494	1884.7703924310001	20.433361858346355
20	919.9552617336568	14.643106415380128	1891.2895225249097	20.462065700958423
21	915.6506646000478	14.607091406955316	1897.8305796545346	20.490769543570487
22	911.3622877475723	14.571076398530504	1904.3936529271955	20.51947338618255
23	907.0900618334517	14.535061390105694	1910.9788319051945	20.548177228794614
24	902.8339178689724	14.499046381680882	1917.586206608706	20.576881071406678
25	898.5937872172748	14.46303137325607	1924.215867518706	20.605584914018745
26	894.369601591163	14.42701636483126	1930.8679055799016	20.63428875663081
27	890.1612930509218	14.391001356406449	1937.5424122037086	20.662992599242873
28	885.9687940021605	14.354986347981637	1944.2394792712328	20.691696441854937
29	881.7920371936669	14.318971339556827	1950.95919913628	20.720400284467
30	877.6309557152774	14.282956331132015	1957.701664628394	20.749104127079068
31	873.4854829957662	14.246941322707203	1964.4669690559112	20.777807969691132
32	869.3555528007487	14.210926314282393	1971.2552062090422	20.806511812303196
33	865.2410992305961	14.17491130585758	1978.06647036298	20.83521565491526
34	861.1420567183744	14.138896297432769	1984.9008562810259	20.863919497527323
35	857.0583600277938	14.102881289007957	1991.7584592177461	20.89262334013939
36	852.9899442511696	14.066866280583147	1998.6393749221459	20.921327182751455
37	848.936744807406	14.030851272158335	2005.5436996408778	20.95003102536352
38	844.8986974399887	13.994836263733523	2012.471530121467	20.978734867975582
39	840.8757382149962	13.958821255308713	2019.4229636155655	21.007438710587646
40	836.8678035191244	13.922806246883901	2026.3980978822322	21.03614255319971
41	832.8748300577238	13.88679123845909	2033.3970311912346	21.064846395811777
42	828.8967548528537	13.85077623003428	2040.4198623263792	21.09355023842384
43	824.9335152413531	13.814761221609468	2047.4666905888755	21.122254081035905
44	820.9850488729171	13.778746213184656	2054.5376158007102	21.15095792364797
45	817.0512937081988	13.742731204759846	2061.632738308063	21.179661766260033
46	813.1321880169147	13.706716196335034	2068.7521589847397	21.2083656088721
47	809.2276703759725	13.670701187910222	2075.8959792356404	21.237069451484164
48	805.3376796676058	13.63468617948541	2083.0643010002477	21.265773294096228
49	801.4621550775295	13.5986711710606	2090.2572267561463	21.29447713670829
50	797.6010360930967	13.562656162635788	2097.4748595225724	21.323180979320355
51	793.7542625014878	13.526641154210976	2104.7173028639863	21.351884821932423
