Step	F1 (Hz)	F1 (ERB)	F2 (Hz)	F2 (ERB)	F3 (Hz)	F3 (ERB)
0	880.9339285342788	14.311555307441553	1613.1034441501001	19.14353607880938	2593.274518601671	23.087993891298918
1	877	14.277483441972887	1622.0000000000002	19.188940012498207	2603	23.119035962490397
2	873.0800323308545	14.24341157650422	1630.94257267087	19.234343946187035	2612.7635502302373	23.150078033681876
3	869.1739694807494	14.209339711035552	1639.9314456638908	19.279747879875863	2622.5653553274774	23.181120104873354
4	865.2817556715813	14.175267845566886	1648.9669046545414	19.325151813564688	2632.405602490893	23.212162176064833
5	861.4033353916736	14.141195980098217	1658.0492375133656	19.370555747253515	2642.2844800928397	23.243204247256312
6	857.5386533942184	14.107124114629551	1667.178734326966	19.415959680942343	2652.2021776880692	23.27424631844779
7	853.6876546957371	14.073052249160883	1676.3556874192495	19.46136361463117	2662.1588860230177	23.30528838963927
8	849.8502845745489	14.038980383692216	1685.5803913729176	19.50676754832	2672.1547970451834	23.336330460830748
9	846.026488569246	14.004908518223548	1694.8531430512053	19.552171482008823	2682.1901039125983	23.367372532022227
10	842.2162124771878	13.970836652754882	1704.1742416198686	19.59757541569765	2692.26500100338	23.398414603213702
11	838.4194023529982	13.936764787286213	1713.5439885694368	19.64297934938648	2702.379683925391	23.42945667440518
12	834.6360045070776	13.902692921817547	1722.9626877377154	19.688383283075307	2712.5343495259694	23.46049874559666
13	830.8659655041223	13.868621056348879	1732.430645332557	19.733787216764135	2722.729195901768	23.491540816788138
14	827.1092321616572	13.834549190880212	1741.9481699549049	19.77919115045296	2732.9644224086787	23.522582887979617
15	823.3657515485767	13.800477325411544	1751.5155726220912	19.824595084141787	2743.240229671861	23.553624959171096
16	819.6354709836971	13.766405459942877	1761.1331667914224	19.869999017830615	2753.556819595856	23.584667030362574
17	815.918338034317	13.732333594474209	1770.801268384041	19.915402951519443	2763.9143953748066	23.615709101554053
18	812.2143005147911	13.698261729005543	1780.5201958090681	19.96080688520827	2774.3131615027673	23.64675117274553
19	808.5233064851084	13.664189863536874	1790.2902699880258	20.006210818897095	2784.7533237841235	23.67779324393701
20	804.8453042494883	13.630117998068208	1800.1118143795572	20.051614752585923	2795.235089344104	23.70883531512849
21	801.1802423549782	13.59604613259954	1809.985155004436	20.09701868627475	2805.758666639394	23.739877386319968
22	797.5280695900653	13.561974267130873	1819.9106204708808	20.14242261996358	2816.324265468861	23.770919457511447
23	793.8887349832975	13.527902401662205	1829.8885420001536	20.187826553652407	2826.9320969843707	23.801961528702925
24	790.2621878019133	13.493830536193538	1839.919253452488	20.23323048734123	2837.58237370172	23.833003599894404
25	786.6483775504789	13.45975867072487	1850.0030913533094	20.27863442103006	2848.27530951167	23.864045671085883
26	783.0472539695429	13.425686805256204	1860.1403949197816	20.324038354718887	2859.011119691086	23.89508774227736
27	779.458767034286	13.391614939787537	1870.3315060876619	20.369442288407715	2869.79002091419	23.926129813468837
28	775.8828669531945	13.357543074318869	1880.5767695384895	20.414846222096543	2880.6122312639277	23.957171884660315
29	772.319504166735	13.323471208850203	1890.8765327270999	20.460250155785367	2891.4779702434257	23.988213955851794
30	768.7686293460376	13.289399343381534	1901.231145909468	20.505654089474195	2902.387458787591	24.019256027043273
31	765.2301933915953	13.255327477912868	1911.640962170892	20.551058023163023	2913.3409192748045	24.05029809823475
32	761.7041474319599	13.2212556124442	1922.106337454518	20.59646195685185	2924.3385755387276	24.08134016942623
33	758.1904428224609	13.187183746975533	1932.627630590218	20.64186589054068	2935.3806528802465	24.11238224061771
34	754.6890311439212	13.153111881506865	1943.2052033238085	20.687269824229503	2946.4673780795047	24.143424311809188
35	751.1998642013923	13.119040016038198	1953.8394203466394	20.73267375791833	2957.598979408084	24.174466383000667
36	747.7228940228866	13.08496815056953	1964.5306493255353	20.77807769160716	2968.7756866412824	24.205508454192145
37	744.2580728581286	13.050896285100864	1975.2792609331073	20.823481625295987	2979.997731070529	24.236550525383624
38	740.8053531773065	13.016824419632195	1986.0856288784428	20.868885558984815	2991.265345515915	24.267592596575103
39	737.3646876698398	12.982752554163529	1996.9501299381645	20.91428949267364	3002.5787643388503	24.29863466776658
40	733.9360292431471	12.94868068869486	2007.8731439878804	20.959693426362467	3013.938223454851	24.32967673895806
41	730.5193310214312	12.914608823226194	2018.8550540340184	21.005097360051295	3025.3439603464503	24.36071881014954
42	727.114546344462	12.880536957757526	2029.8962462460584	21.050501293740123	3036.796214076236	24.391760881341018
43	723.7216287663786	12.84646509228886	2040.9971099891661	21.09590522742895	3048.295225300026	24.422802952532493
44	720.3405320544903	12.812393226820191	2052.158037857226	21.141309161117775	3059.8412362801737	24.45384502372397
45	716.9712101880913	12.778321361351525	2063.379425706301	21.186713094806603	3071.434490898999	24.48488709491545
46	713.6136173572819	12.744249495882856	2074.6616726884895	21.23211702849543	3083.0752346723693	24.51592916610693
47	710.2677079617957	12.71017763041419	2086.0051812862284	21.27752096218426	3094.7637147634064	24.546971237298408
48	706.9334366098362	12.676105764945522	2097.4103573470156	21.322924895873086	3106.5001799963316	24.578013308489886
49	703.6107581169218	12.642033899476855	2108.8776101185645	21.36832882956191	3118.284880870465	24.609055379681365
